Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201201,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Thru / Transit,Other,International,G,25
201204,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,7634
201712,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Other,International,A,14343
201411,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,5822
202002,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,143893
202009,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,355
201812,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,5597
201104,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10194
201508,XL Airways France,SE,XL Airways France,SE,International,Europe,Deplaned,Other,International,A,4108
201212,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5538
201609,Jazz Aviation,QK,Air Canada,AC,International,Canada,Deplaned,Other,International,G,2035
201205,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,2982
200608,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,12744
200807,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,5228
201506,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,11733
201205,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,12726
202011,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,138135
201306,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 1,B,2971
201312,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,3518
201106,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Deplaned,Other,International,A,5225
200708,US Airways,US,US Airways,US,Domestic,US,Enplaned,Low Fare,Terminal 1,B,44689
200905,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,8066
201302,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,123798
201304,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,9254
200811,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,13432
201610,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,5697
201903,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,16940
201706,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,9451
200807,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6085
201308,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,94651
201707,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,5328
202008,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,G,1633
200801,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,Domestic,US,Enplaned,Other,Terminal 1,C,42491
202008,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,B,41104
200907,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 3,E,2949
201112,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,17109
201901,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,20541
200509,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 1,A,2913
200609,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6106
201809,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,4873
200806,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,24304
200802,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,32165
202101,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,99174
201802,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Enplaned,Other,International,G,6947
201901,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,C,13362
200906,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,3809
201504,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,B,3817
201302,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,15596
201203,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Other,International,A,3022
201703,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,E,7700
200808,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,23415
202003,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Other,International,A,6777
200702,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,17080
201801,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,A,14715
201305,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,26977
200705,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,8535
201912,Norwegian Air UK Ltd,DI,Norwegian Air UK Ltd,DI,International,Europe,Enplaned,Other,International,A,5409
201505,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,17778
201510,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,952
201911,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,39480
201907,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,7024
201208,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,12728
201402,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,7786
200809,Jet Airways,9W,Jet Airways,9W,International,Asia,Enplaned,Other,International,A,3273
201707,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,3670
201207,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,161282
202103,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,Terminal 1,B,14500
